"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 22, 2017","271.80","275.50","276.50","271.10","1.53M","-0.73%"
"Nov 21, 2017","273.80","279.00","282.00","273.10","2.88M","-1.63%"
"Nov 20, 2017","278.35","273.00","280.25","270.05","3.09M","2.03%"
"Nov 17, 2017","272.80","271.50","273.40","268.75","3.37M","1.66%"
"Nov 16, 2017","268.35","272.50","272.90","266.15","2.78M","-1.47%"
"Nov 15, 2017","272.35","274.00","274.15","270.20","2.60M","-0.66%"
"Nov 14, 2017","274.15","274.35","275.40","271.25","2.80M","-0.29%"
"Nov 13, 2017","274.95","276.20","280.30","274.00","5.41M","-3.31%"
"Nov 10, 2017","284.35","283.30","287.45","278.00","3.53M","0.39%"
"Nov 09, 2017","283.25","286.90","287.50","280.05","3.81M","-1.67%"
"Nov 08, 2017","288.05","283.25","289.00","282.50","13.61M","1.19%"
"Nov 07, 2017","284.65","286.60","287.80","283.10","4.58M","-0.59%"
"Nov 06, 2017","286.35","286.50","289.45","283.90","4.41M","-0.07%"
"Nov 03, 2017","286.55","291.20","292.00","285.05","4.37M","-1.60%"
"Nov 02, 2017","291.20","286.90","292.35","284.65","4.09M","1.62%"
"Nov 01, 2017","286.55","286.50","290.00","281.55","3.61M","0.03%"
"Oct 31, 2017","286.45","287.00","288.30","283.35","2.60M","-0.85%"
"Oct 30, 2017","288.90","289.15","290.90","285.10","2.21M","-0.09%"
"Oct 27, 2017","289.15","294.00","294.25","287.90","2.51M","-1.43%"
"Oct 26, 2017","293.35","289.00","295.00","289.00","8.70M","1.45%"
"Oct 25, 2017","289.15","291.00","291.70","287.55","2.44M","-0.19%"
"Oct 24, 2017","289.70","289.05","291.95","288.00","3.06M","-0.05%"
"Oct 23, 2017","289.85","286.50","291.40","286.50","13.20M","1.42%"
"Oct 19, 2017","285.80","290.00","290.05","284.90","543.14K","-1.45%"
"Oct 18, 2017","290.00","290.00","291.45","288.30","3.63M","-0.02%"
"Oct 17, 2017","290.05","291.00","291.00","288.25","3.95M","-0.22%"
"Oct 16, 2017","290.70","287.30","291.50","286.75","5.48M","1.20%"
"Oct 13, 2017","287.25","282.60","289.00","282.60","5.08M","1.72%"
"Oct 12, 2017","282.40","281.90","283.75","280.15","5.89M","-0.19%"
"Oct 11, 2017","282.95","286.00","286.50","280.75","17.10M","-0.95%"
"Oct 10, 2017","285.65","281.35","286.25","281.35","8.45M","1.53%"
"Oct 09, 2017","281.35","277.00","281.95","276.80","7.17M","1.68%"
"Oct 06, 2017","276.70","273.50","278.50","273.45","7.95M","1.26%"
"Oct 05, 2017","273.25","270.00","273.95","269.05","3.17M","1.20%"
"Oct 04, 2017","270.00","271.15","271.85","268.70","2.86M","-0.74%"
"Oct 03, 2017","272.00","273.00","274.30","269.15","2.93M","0.42%"
"Sep 29, 2017","270.85","270.00","272.40","267.30","4.84M","1.14%"
"Sep 28, 2017","267.80","260.00","270.25","258.95","15.89M","2.66%"
"Sep 27, 2017","260.85","261.75","261.90","255.30","5.99M","0.17%"
"Sep 26, 2017","260.40","257.50","261.85","253.80","4.59M","1.30%"
"Sep 25, 2017","257.05","254.40","257.70","250.25","5.68M","1.28%"
"Sep 22, 2017","253.80","253.50","254.45","248.00","5.18M","-0.10%"
"Sep 21, 2017","254.05","255.50","256.40","248.50","4.47M","-0.97%"
"Sep 20, 2017","256.55","258.55","258.70","253.20","3.31M","-0.77%"
"Sep 19, 2017","258.55","262.00","262.95","257.10","5.36M","-2.27%"
"Sep 18, 2017","264.55","261.45","265.00","260.10","4.11M","1.83%"
"Sep 15, 2017","259.80","255.20","262.20","255.20","8.59M","1.86%"
"Sep 14, 2017","255.05","255.60","258.20","254.05","5.76M","-0.51%"
"Sep 13, 2017","256.35","257.00","259.70","255.10","3.96M","-0.47%"
"Sep 12, 2017","257.55","256.10","258.30","253.40","3.75M","0.19%"
"Sep 11, 2017","257.05","256.50","259.60","255.25","3.53M","0.80%"
"Sep 08, 2017","255.00","253.30","255.85","251.55","3.75M","0.67%"
